,Topics,Evidence of engagement
252,analyzing contributions,acknowledgement
253,contributors,object of study - indirect
254,contributors,acknowledgement
255,application,none
256,application,none
257,data quality,none
258,data quality,object of study - indirect
259,review,object of study - indirect
260,application,none
261,application,none
262,application,none
263,data quality,none
264,data quality,none
265,application,meaningful development
266,data enrichment,meaningful development
267,analyzing contributions,occasional development
268,shaping contributions,occasional development
269,development,occasional development
270,application,occasional development
271,data enrichment,occasional development
272,application,none
273,data enrichment,contribution
274,contributors,meaningful development
275,analyzing contributions,meaningful development
276,OSM effects,meaningful development
277,data enrichment,none
278,application,none
279,data quality,none
280,application,none
281,application,none
282,shaping contributions,object of study - direct
283,contributors,object of study - direct
284,shaping contributions,contribution
285,data quality,contribution
286,application,none
287,application,none
288,data quality,none
289,application,acknowledgement
290,application,acknowledgement
291,application,none
292,review,occasional development
293,data quality,contribution
294,development,contribution
295,data enrichment,meaningful development
296,data quality,meaningful development
297,application,none
298,application,none
299,contributors,contribution
300,contributors,object of study - indirect
301,contribution behaviors,contribution
302,contribution behaviors,object of study - indirect
303,data quality,none
304,application,none
305,application,none
306,application,acknowledgement
307,application,object of study - indirect
308,application,none
309,application,none
310,application,none
311,contribution behaviors,none
